Origin,Destination,Carrier,Shipping Date,Delivery Date,
China,Portugal,China Post,2019-09-04,2019-10-02,
Spain,Portugal,ASM,2019-10-06,2019-10-07,
Spain,Portugal,ASM,2019-10-06,2019-10-07,
China,Portugal,Yanwen,2019-08-01,2019-10-08,
Turkey,Portugal,PTT,2019-09-24,2019-10-08,
China,Portugal,China Post,2019-09-27,2019-10-14,
China,Portugal,Cainiao,2019-09-28,2019-10-18,
China,Portugal,PostNL,2019-10-08,2019-10-28,
China,Portugal,EMS,2019-10-25,2019-11-06,
Singapore,Portugal,Singapore Post,2019-10-23,2019-11-06,
China,Portugal,Yanwen,2019-10-09,2019-11-14,
China,Portugal,China Post,2019-09-26,2019-10-15,
China,Portugal,China Post,2019-10-04,2019-11-26,
